method,seed,n_train,n_val,n_test,accuracy,macro_f1,weighted_f1
Dummy most frequent,42,11436,2451,2451,0.2900856793145654,0.0449715370018975,0.1304559886101556
Dummy most frequent,43,11436,2451,2451,0.2900856793145654,0.0449715370018975,0.1304559886101556
Dummy most frequent,44,11436,2451,2451,0.2900856793145654,0.0449715370018975,0.1304559886101556
Dummy most frequent,45,11436,2451,2451,0.2900856793145654,0.0449715370018975,0.1304559886101556
Dummy most frequent,46,11436,2451,2451,0.2900856793145654,0.0449715370018975,0.1304559886101556
Subject only,42,11436,2451,2451,0.3533251733986128,0.2922282721892463,0.3442677049938029
Subject only,43,11436,2451,2451,0.3704610363117095,0.3060002422947949,0.3612764645433219
Subject only,44,11436,2451,2451,0.3716850265197878,0.31165505178484,0.3644534973799829
Subject only,45,11436,2451,2451,0.3561811505507956,0.3029777857427276,0.3496513233136468
Subject only,46,11436,2451,2451,0.3455732354141166,0.2666181983311123,0.3341894211327779
Body only,42,11436,2451,2451,0.5230518155854753,0.4791189039101742,0.5135449381833233
Body only,43,11436,2451,2451,0.5430436556507547,0.4929712584948837,0.5302086914112724
Body only,44,11436,2451,2451,0.5312117503059975,0.4753522487694598,0.5216087973186119
Body only,45,11436,2451,2451,0.510811913504692,0.4823404974819998,0.5023680917418518
Body only,46,11436,2451,2451,0.5050999592003264,0.4716950566234367,0.4978718932758468
Subject + Body,42,11436,2451,2451,0.5189718482252142,0.4715885336048518,0.5088109069061061
Subject + Body,43,11436,2451,2451,0.5410036719706243,0.4936648655152517,0.5282769739186259
Subject + Body,44,11436,2451,2451,0.5238678090575275,0.470568160695209,0.5135585598649336
Subject + Body,45,11436,2451,2451,0.5161158710730314,0.4830940185475296,0.5063347775483974
Subject + Body,46,11436,2451,2451,0.4997960016319869,0.4567494126252143,0.4909460211474136
Small vocabulary,42,11436,2451,2451,0.4141166870665034,0.3157011586105914,0.3876974414716572
Small vocabulary,43,11436,2451,2451,0.4275805793553651,0.3112962159795982,0.3935631732416298
Small vocabulary,44,11436,2451,2451,0.4230926152590779,0.3231592168225516,0.395231208420683
Small vocabulary,45,11436,2451,2451,0.4181966544267645,0.3427926694111676,0.3930668827345742
Small vocabulary,46,11436,2451,2451,0.4010607915136679,0.3183148166745132,0.3783935519389076
Subject + Body + tags,42,11436,2451,2451,0.5136678906568748,0.46862817370617343,0.5032316730816028
Subject + Body + tags,43,11436,2451,2451,0.5344757241942064,0.49660980508117725,0.5229192929564931
Subject + Body + tags,44,11436,2451,2451,0.5197878416972664,0.4621183485265009,0.5085376992891355
Subject + Body + tags,45,11436,2451,2451,0.507547939616483,0.47168757198539996,0.49698735988877146
Subject + Body + tags,46,11436,2451,2451,0.49367605059159525,0.4507774526409906,0.4836576845940887
